subject_id,modality,contrast,condition,roi,window,start_ms,end_ms,mean_amplitude
203,scalp_main,emotional_vs_neutral,neutral,central_roi,W1,80,130,-0.8847785110707174
203,scalp_main,emotional_vs_neutral,neutral,central_roi,W2,130,220,-2.144506830600081
203,scalp_main,emotional_vs_neutral,neutral,central_roi,W3,220,320,-1.8357754185150963
203,scalp_main,emotional_vs_neutral,neutral,central_roi,W4,320,600,-1.3081792498748623
205,scalp_main,face_vs_nonface,face,face_roi,W1,80,130,5.222642162584206
205,scalp_main,face_vs_nonface,face,face_roi,W2,130,220,6.386726454008369
205,scalp_main,face_vs_nonface,face,face_roi,W3,220,320,9.852248857824867
205,scalp_main,face_vs_nonface,face,face_roi,W4,320,600,9.093216895465735
205,scalp_main,face_vs_nonface,non_face,face_roi,W1,80,130,5.946702728567
205,scalp_main,face_vs_nonface,non_face,face_roi,W2,130,220,9.985902263568578
205,scalp_main,face_vs_nonface,non_face,face_roi,W3,220,320,15.784827121561346
205,scalp_main,face_vs_nonface,non_face,face_roi,W4,320,600,11.509585224015979
205,scalp_main,face_vs_nonface,face,late_roi,W1,80,130,3.7659281779101947
205,scalp_main,face_vs_nonface,face,late_roi,W2,130,220,3.5831182217542765
205,scalp_main,face_vs_nonface,face,late_roi,W3,220,320,4.737135328715855
205,scalp_main,face_vs_nonface,face,late_roi,W4,320,600,2.9567575317684973
205,scalp_main,face_vs_nonface,non_face,late_roi,W1,80,130,5.366991348577961
205,scalp_main,face_vs_nonface,non_face,late_roi,W2,130,220,4.064449407443995
205,scalp_main,face_vs_nonface,non_face,late_roi,W3,220,320,6.171501555147948
205,scalp_main,face_vs_nonface,non_face,late_roi,W4,320,600,1.8286351688645563
205,scalp_main,face_vs_nonface,face,central_roi,W1,80,130,2.33417031549777
205,scalp_main,face_vs_nonface,face,central_roi,W2,130,220,2.149674544519419
205,scalp_main,face_vs_nonface,face,central_roi,W3,220,320,2.616865992827648
205,scalp_main,face_vs_nonface,face,central_roi,W4,320,600,1.3225267794641977
205,scalp_main,face_vs_nonface,non_face,central_roi,W1,80,130,4.074523013850344
205,scalp_main,face_vs_nonface,non_face,central_roi,W2,130,220,1.8837809700630244
205,scalp_main,face_vs_nonface,non_face,central_roi,W3,220,320,2.6824267808658697
205,scalp_main,face_vs_nonface,non_face,central_roi,W4,320,600,-0.2623203846962863
205,scalp_main,emotional_vs_neutral,emotional,face_roi,W1,80,130,4.421607044288451
205,scalp_main,emotional_vs_neutral,emotional,face_roi,W2,130,220,7.383585636079894
205,scalp_main,emotional_vs_neutral,emotional,face_roi,W3,220,320,13.006686956042156
205,scalp_main,emotional_vs_neutral,emotional,face_roi,W4,320,600,11.367676944442994
205,scalp_main,emotional_vs_neutral,neutral,face_roi,W1,80,130,7.625747517471455
205,scalp_main,emotional_vs_neutral,neutral,face_roi,W2,130,220,3.3961489077937896
205,scalp_main,emotional_vs_neutral,neutral,face_roi,W3,220,320,0.3889345631730031
205,scalp_main,emotional_vs_neutral,neutral,face_roi,W4,320,600,2.2698367485339497
205,scalp_main,emotional_vs_neutral,emotional,late_roi,W1,80,130,3.081064990702093
205,scalp_main,emotional_vs_neutral,emotional,late_roi,W2,130,220,4.450730491645498
205,scalp_main,emotional_vs_neutral,emotional,late_roi,W3,220,320,7.734692879199597
205,scalp_main,emotional_vs_neutral,emotional,late_roi,W4,320,600,5.030307853878114
205,scalp_main,emotional_vs_neutral,neutral,late_roi,W1,80,130,5.820517739534498
205,scalp_main,emotional_vs_neutral,neutral,late_roi,W2,130,220,0.9802814120806166
205,scalp_main,emotional_vs_neutral,neutral,late_roi,W3,220,320,-4.255537322735375
205,scalp_main,emotional_vs_neutral,neutral,late_roi,W4,320,600,-3.2638934345603503
205,scalp_main,emotional_vs_neutral,emotional,central_roi,W1,80,130,1.743381346897913
205,scalp_main,emotional_vs_neutral,emotional,central_roi,W2,130,220,3.0862977634595494
205,scalp_main,emotional_vs_neutral,emotional,central_roi,W3,220,320,5.6286902873263145
205,scalp_main,emotional_vs_neutral,emotional,central_roi,W4,320,600,3.4463005968442517
205,scalp_main,emotional_vs_neutral,neutral,central_roi,W1,80,130,4.106537221297343
205,scalp_main,emotional_vs_neutral,neutral,central_roi,W2,130,220,-0.6601951123009708
205,scalp_main,emotional_vs_neutral,neutral,central_roi,W3,220,320,-6.418606890668355
205,scalp_main,emotional_vs_neutral,neutral,central_roi,W4,320,600,-5.048794672675963
206,scalp_main,face_vs_nonface,face,face_roi,W1,80,130,6.3294693737602
206,scalp_main,face_vs_nonface,face,face_roi,W2,130,220,10.927541436492062
206,scalp_main,face_vs_nonface,face,face_roi,W3,220,320,12.229140780060778
206,scalp_main,face_vs_nonface,face,face_roi,W4,320,600,9.146518455570366
206,scalp_main,face_vs_nonface,non_face,face_roi,W1,80,130,5.596640292162489
206,scalp_main,face_vs_nonface,non_face,face_roi,W2,130,220,13.921412628569476
206,scalp_main,face_vs_nonface,non_face,face_roi,W3,220,320,15.66670915374891
206,scalp_main,face_vs_nonface,non_face,face_roi,W4,320,600,-3.359535942893253
206,scalp_main,face_vs_nonface,face,late_roi,W1,80,130,0.6259964033031594
206,scalp_main,face_vs_nonface,face,late_roi,W2,130,220,-0.507997215491907
206,scalp_main,face_vs_nonface,face,late_roi,W3,220,320,-0.6639823265594762
206,scalp_main,face_vs_nonface,face,late_roi,W4,320,600,-1.1635887195762724
206,scalp_main,face_vs_nonface,non_face,late_roi,W1,80,130,2.0517368380282397
206,scalp_main,face_vs_nonface,non_face,late_roi,W2,130,220,0.868446481346852
206,scalp_main,face_vs_nonface,non_face,late_roi,W3,220,320,-1.6287868662790013
206,scalp_main,face_vs_nonface,non_face,late_roi,W4,320,600,-5.562001316751979
206,scalp_main,face_vs_nonface,face,central_roi,W1,80,130,-1.4158705806755991
206,scalp_main,face_vs_nonface,face,central_roi,W2,130,220,-3.101481606566247
206,scalp_main,face_vs_nonface,face,central_roi,W3,220,320,-4.273418225673651
206,scalp_main,face_vs_nonface,face,central_roi,W4,320,600,-3.6594091170029635
206,scalp_main,face_vs_nonface,non_face,central_roi,W1,80,130,-0.7727031496212293
206,scalp_main,face_vs_nonface,non_face,central_roi,W2,130,220,-3.329749888478686
206,scalp_main,face_vs_nonface,non_face,central_roi,W3,220,320,-5.345108516843517
206,scalp_main,face_vs_nonface,non_face,central_roi,W4,320,600,-3.1251468063699517
206,scalp_main,emotional_vs_neutral,emotional,face_roi,W1,80,130,6.367588036146158
206,scalp_main,emotional_vs_neutral,emotional,face_roi,W2,130,220,10.722208396511387
206,scalp_main,emotional_vs_neutral,emotional,face_roi,W3,220,320,12.092806899968782
206,scalp_main,emotional_vs_neutral,emotional,face_roi,W4,320,600,9.067130769085006
206,scalp_main,emotional_vs_neutral,neutral,face_roi,W1,80,130,6.215113386602329
206,scalp_main,emotional_vs_neutral,neutral,face_roi,W2,130,220,11.543540556434094
206,scalp_main,emotional_vs_neutral,neutral,face_roi,W3,220,320,12.638142420336742
206,scalp_main,emotional_vs_neutral,neutral,face_roi,W4,320,600,9.384681515026445
206,scalp_main,emotional_vs_neutral,emotional,late_roi,W1,80,130,0.7902803153722293
206,scalp_main,emotional_vs_neutral,emotional,late_roi,W2,130,220,-0.24767581006964834
206,scalp_main,emotional_vs_neutral,emotional,late_roi,W3,220,320,-0.6219358910311376
206,scalp_main,emotional_vs_neutral,emotional,late_roi,W4,320,600,-1.1698477057960346
206,scalp_main,emotional_vs_neutral,neutral,late_roi,W1,80,130,0.1331446670959523
206,scalp_main,emotional_vs_neutral,neutral,late_roi,W2,130,220,-1.2889614317586846
206,scalp_main,emotional_vs_neutral,neutral,late_roi,W3,220,320,-0.7901216331444931
206,scalp_main,emotional_vs_neutral,neutral,late_roi,W4,320,600,-1.1448117609169834
206,scalp_main,emotional_vs_neutral,emotional,central_roi,W1,80,130,-1.2289033326041106
206,scalp_main,emotional_vs_neutral,emotional,central_roi,W2,130,220,-2.867289962758196
206,scalp_main,emotional_vs_neutral,emotional,central_roi,W3,220,320,-4.252179063265285
206,scalp_main,emotional_vs_neutral,emotional,central_roi,W4,320,600,-3.776282761144666
206,scalp_main,emotional_vs_neutral,neutral,central_roi,W1,80,130,-1.9767723248900642
206,scalp_main,emotional_vs_neutral,neutral,central_roi,W2,130,220,-3.8040565379903986
