window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap
W3,220.0,320.0,P8,11,-1.4652341719923614,-2.707284037241891,4.13776964033426,1.2475844878102325,True
W3,220.0,320.0,O1,11,-1.1371708386086217,-2.306399107505799,4.665674840931409,1.4067538946518725,True
W3,220.0,320.0,O2,11,-0.48242327514842953,-1.097482631637451,4.746541818102233,1.4311362056705872,True
W4,320.0,600.0,Fp1,11,-13.242834285697898,-6.7441827064579485,17.44003561324584,5.258368587233836,True
W4,320.0,600.0,Fpz,11,-10.91510196748485,-6.520542675511292,15.672060730204075,4.725304103068198,True
W4,320.0,600.0,Fp2,11,-12.219679707693935,-6.4435262828090725,17.29188408554286,5.213699220914861,True
W4,320.0,600.0,F7,11,-1.4107952291611119,-1.4155822948741932,2.752618092119497,0.8299455820640279,True
W4,320.0,600.0,F3,7,0.018875341338168754,0.23107225645618445,2.0330082345136327,0.7684048859813647,True
W4,320.0,600.0,Fz,11,-0.7087232587848734,0.08568659496427156,3.7343921295588793,1.125961592163916,True
W4,320.0,600.0,F4,10,-1.1669963517190927,-0.2836920939807158,4.272910893054012,1.351213066099482,True
W4,320.0,600.0,F8,11,-1.1782197211515502,-0.5370176074773142,3.3442460768912903,1.008328131242404,True
W4,320.0,600.0,FC5,6,1.3157218192949884,1.481962209817457,1.0742107987200915,0.4385447221752983,True
W4,320.0,600.0,FC1,9,0.2887808319458146,1.550261252451631,2.7287950851119547,0.9095983617039849,True
W4,320.0,600.0,FC2,9,0.6295140403055548,0.9772755873741077,1.3765925160308783,0.4588641720102928,True
W4,320.0,600.0,FC6,11,0.7358950765965062,1.4901676681171288,1.7798438391732918,0.536643109087588,True
W4,320.0,600.0,T7,10,2.224779966838611,2.160599861973221,2.7188601966433725,0.8597790860966344,True
W4,320.0,600.0,C3,11,1.6906394711360662,1.759394132576313,1.126284881824783,0.339587669096598,True
W4,320.0,600.0,Cz,9,1.9740008622780385,1.5762055863693516,1.1587182666338098,0.38623942221127,True
W4,320.0,600.0,C4,11,1.7590591628163608,1.8471685814626397,0.9178249770017758,0.2767346429028604,True
W4,320.0,600.0,T8,11,2.115291944364237,1.4968714384027717,1.8528252615017609,0.5586478358630425,True
W4,320.0,600.0,TP7,10,1.8377226583563366,1.2215558915077847,3.9787078217825433,1.2581778861160131,True
W4,320.0,600.0,CP5,10,1.8654655794378443,1.6716297299783656,3.310778695193242,1.0469601505571005,True
W4,320.0,600.0,CP1,10,1.9459252425152531,1.3169638919451114,1.7008707716815197,0.537862564412182,True
