analysis,modality,contrast,roi,window,condition_a,condition_b,n,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size_dz,p_fdr
condition_within_modality,scalp_main,emotional_vs_neutral,late_roi,W4,emotional,neutral,11,0.7218703185146521,0.21343635247980208,0.50843396603485,wilcoxon,27.0,0.6376953125,0.17571072673216306,0.8326646959459459
condition_within_modality,scalp_main,face_vs_nonface,central_roi,W1,face,non_face,11,-0.7084075330122126,-0.9176966570900753,0.2092891240778627,wilcoxon,28.0,0.7001953125,0.11318292873511182,0.8326646959459459
condition_within_modality,scalp_main,face_vs_nonface,central_roi,W2,face,non_face,11,-0.9179703596492579,-1.2592412935904416,0.34127093394118385,wilcoxon,26.0,0.5771484375,0.32146647046580695,0.8326075819672131
condition_within_modality,scalp_main,face_vs_nonface,central_roi,W3,face,non_face,11,-1.0917447219867311,-2.508642917126498,1.4168981951397668,wilcoxon,4.0,0.0068359375,1.0060251835217626,0.13368055555555555
condition_within_modality,scalp_main,face_vs_nonface,central_roi,W4,face,non_face,11,-1.069882434538813,-2.136295055320991,1.0664126207821776,wilcoxon,7.0,0.0185546875,0.9092476486077297,0.16328125
condition_within_modality,scalp_main,face_vs_nonface,face_roi,W1,face,non_face,11,6.628407216594017,4.548367687574796,2.080039529019221,wilcoxon,2.0,0.0029296875,1.0955594640535602,0.12890625
condition_within_modality,scalp_main,face_vs_nonface,face_roi,W2,face,non_face,11,7.362671591712867,8.147337436578832,-0.7846658448659652,wilcoxon,18.0,0.2060546875,-0.40732396059031845,0.4771792763157895
condition_within_modality,scalp_main,face_vs_nonface,face_roi,W3,face,non_face,11,7.801452526790221,8.732801547365522,-0.9313490205753033,wilcoxon,19.0,0.240234375,-0.2386126557940136,0.5420673076923077
condition_within_modality,scalp_main,face_vs_nonface,face_roi,W4,face,non_face,11,6.572991492983468,4.416181660759209,2.156809832224259,wilcoxon,16.0,0.1474609375,0.49007851918836287,0.405517578125
condition_within_modality,scalp_main,face_vs_nonface,late_roi,W1,face,non_face,11,0.7821375071426963,0.7368217276141574,0.045315779528538824,wilcoxon,28.0,0.7001953125,0.02435291449536996,0.8326646959459459
condition_within_modality,scalp_main,face_vs_nonface,late_roi,W2,face,non_face,11,0.8654652384963942,1.0435235358969677,-0.1780582974005735,wilcoxon,21.0,0.3203125,-0.1519595227783458,0.6695963541666666
condition_within_modality,scalp_main,face_vs_nonface,late_roi,W3,face,non_face,11,0.7581478699078253,-0.4926232350823318,1.250771104990157,wilcoxon,17.0,0.1748046875,0.5236624829408048,0.4157516891891892
condition_within_modality,scalp_main,face_vs_nonface,late_roi,W4,face,non_face,11,0.5947618270059395,-1.4793940803543024,2.074155907360242,wilcoxon,0.0,0.0009765625,1.3604939938593388,0.0859375
