subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,1.0506484703374968,1.1037492162849682,-0.053100745947471495,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,1.5978604715743088,1.694013335746554,-0.09615286417224533,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,2.048872639296773,3.8075839107132334,-1.7587112714164603,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,3.904711009750443,-0.9041405871831334,4.808851596933576,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,-0.0274677406175498,1.1451869803968735,-1.1726547210144234,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.8562347754893704,0.4132182718653163,0.44301650362405415,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,-0.0917813638347877,0.4021387289436304,-0.4939200927784181,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.8729493348017258,1.563049083906835,-0.6900997491051092,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.6925286129334498,0.6974777372989543,-0.0049491243655045425,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.5312253781956577,-0.0434822900660025,0.5747076682616602,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.4435360855431536,0.9511443297152214,-0.5076082441720678,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W2,130,220,0.714924644483428,1.2227954856062055,-0.5078708411227776,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,0.8252795251056323,1.0201334271796596,-0.1948539020740273,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,0.3056729787427083,3.241320344269537,-2.9356473655268287,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,3.9620039797330624,-1.2817719393950358,5.243775919128098,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,-0.5506860476399146,0.5445175969579736,-1.095203644597888,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,0.6948511709549945,-0.4471385553150533,1.1419897262700478,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,0.2151425973800082,0.1255708162143629,0.08957178116564532,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,-0.9054892396574168,-0.7056659608810159,-0.19982327877640094,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,1.3189102667726036,1.0154263059038242,0.3034839608687794,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,1.2502973285504246,1.1303453558393497,0.11995197271107494,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,-0.643083306086151,0.1278148896663578,-0.7708981957525088,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W3,220,320,-0.0504355881404569,0.6803184721498077,-0.7307540602902646,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,1.0282320095486237,1.0142534748410128,0.013978534707610901,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,2.555113589126835,2.8518650997888684,-0.29675151066203354,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,4.449583135452702,-0.9999358094147848,5.449518944867487,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,0.9353638597731184,1.2280472749196096,-0.2926834151464912,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,1.5562581062227596,0.2388542592379898,1.3174038469847698,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,0.4966535691647146,1.2240055227053288,-0.7273519535406142,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,-0.1489749514050659,0.4010107693725435,-0.5499857207776093,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,0.9557188739584348,0.6600800071899113,0.29563886676852347,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,1.827748589740504,2.3824050788869773,-0.5546564891464734,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,0.0035431887932521,0.3174274075443076,-0.3138842187510555,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W4,320,600,1.1567974157997003,2.04014120297963,-0.8833437871799299,240.0,80.0
200,ear_full_main,face_vs_nonface,face,non_face,ear_full,W1,80,130,0.0001563690367251,0.0060838690279926,-0.0059274999912675,320.0,80.0
201,ear_full_main,face_vs_nonface,face,non_face,ear_full,W1,80,130,1.4281579805696616,-0.5916209697744237,2.0197789503440853,320.0,80.0
202,ear_full_main,face_vs_nonface,face,non_face,ear_full,W1,80,130,0.2067631280420385,-0.5340931307027122,0.7408562587447507,320.0,80.0
